Date,Daily_Confirmed_,Cumulative_Confirmed,Daily_Discharged,Cumulative_Discharged,Discharged_to_Isolation,Daily_Deaths,Daily_Local_transmission,Local_cases_residing_in_dorms_MOH_report,In_Isolation_MOH_report
2020/1/23,1,1,0,0,0,0,0,,
2020/1/24,2,3,0,0,0,0,0,,
2020/1/25,1,4,0,0,0,0,0,,
2020/1/26,0,4,0,0,0,0,0,,
2020/1/27,1,5,0,0,0,0,0,,
2020/1/28,2,7,0,0,0,0,0,,
2020/1/29,3,10,0,0,0,0,0,,
2020/1/30,3,13,0,0,0,0,0,,
2020/1/31,3,16,0,0,0,0,0,,
2020/2/1,2,18,0,0,0,0,0,,
2020/2/2,0,18,0,0,0,0,0,,
2020/2/3,0,18,0,0,0,0,0,,
2020/2/4,6,24,1,1,0,0,4,,
2020/2/5,4,28,0,1,0,0,3,,
2020/2/6,2,30,0,1,0,0,2,,
2020/2/7,3,33,1,2,0,0,3,,
2020/2/8,7,40,0,2,0,0,7,,
2020/2/9,3,43,4,6,0,0,3,,
2020/2/10,2,45,1,7,0,0,1,,
2020/2/11,2,47,2,9,0,0,2,,
2020/2/12,3,50,6,15,0,0,3,,
2020/2/13,8,58,0,15,0,0,8,,
2020/2/14,9,67,2,17,0,0,9,,
2020/2/15,5,72,1,18,0,0,5,,
2020/2/16,3,75,1,19,0,0,3,,
2020/2/17,2,77,5,24,0,0,1,,
2020/2/18,4,81,5,29,0,0,4,,
2020/2/19,3,84,5,34,0,0,3,,
2020/2/20,1,85,3,37,0,0,1,,
2020/2/21,1,86,10,47,0,0,1,,
2020/2/22,3,89,2,49,0,0,2,,
2020/2/23,0,89,2,51,0,0,0,,
2020/2/24,1,90,2,53,0,0,1,,
2020/2/25,1,91,5,58,0,0,1,,
2020/2/26,2,93,4,62,0,0,2,,
2020/2/27,3,96,4,66,0,0,3,,
2020/2/28,2,98,3,69,0,0,2,,
2020/2/29,4,102,3,72,0,0,4,,
2020/3/1,4,106,2,74,0,0,4,,
2020/3/2,2,108,4,78,0,0,2,,
2020/3/3,2,110,0,78,0,0,2,,
2020/3/4,2,112,1,79,0,0,2,,
2020/3/5,5,117,2,81,0,0,4,,
2020/3/6,13,130,1,82,0,0,11,,
2020/3/7,8,138,8,90,0,0,6,,
2020/3/8,12,150,0,90,0,0,11,,
2020/3/9,10,160,3,93,0,0,7,,
2020/3/10,6,166,0,93,0,0,6,,
2020/3/11,12,178,3,96,0,0,4,,
2020/3/12,9,187,0,96,0,0,4,,
2020/3/13,13,200,1,97,0,0,4,,
2020/3/14,12,212,8,105,0,0,3,,
2020/3/15,14,226,0,105,0,0,5,,
2020/3/16,17,243,4,109,0,0,6,,
2020/3/17,23,266,5,114,0,0,6,,
2020/3/18,47,313,3,117,0,0,14,,
2020/3/19,32,345,7,124,0,0,8,,
2020/3/20,40,385,7,131,0,0,10,,0
2020/3/21,47,432,9,140,0,2,8,,0
2020/3/22,23,455,4,144,0,0,5,,0
2020/3/23,54,509,8,152,0,0,6,,0
2020/3/24,49,558,3,155,0,0,17,,0
2020/3/25,73,631,5,160,65,0,35,,64
2020/3/26,52,683,12,172,87,0,24,,87
2020/3/27,49,732,11,183,115,0,27,,115
2020/3/28,70,802,15,198,182,0,29,,182
2020/3/29,42,844,14,212,206,1,18,2,206
2020/3/30,35,879,16,228,228,0,26,3,228
2020/3/31,47,926,12,240,260,0,31,6,260
2020/4/1,74,1000,5,245,291,0,54,11,291
2020/4/2,49,1049,21,266,315,1,41,7,315
2020/4/3,65,1114,16,282,354,1,56,22,354
2020/4/4,75,1189,15,297,386,1,69,23,386
2020/4/5,120,1309,23,320,414,0,116,57,414
2020/4/6,66,1375,24,344,454,0,65,38,454
2020/4/7,106,1481,33,377,471,0,103,46,471
2020/4/8,142,1623,29,406,542,0,140,65,542
2020/4/9,287,1910,54,460,559,0,284,214,559
2020/4/10,198,2108,32,492,734,1,198,141,734
2020/4/11,191,2299,35,527,820,1,191,152,820
2020/4/12,233,2532,32,559,988,0,233,188,988
2020/4/13,386,2918,26,585,1165,1,386,334,1165
2020/4/14,334,3252,25,610,1316,1,334,275,1316
2020/4/15,447,3699,41,651,1540,0,447,406,1541
2020/4/16,728,4427,31,682,1848,0,728,676,1848
2020/4/17,623,5050,25,707,2218,1,622,559,2218
2020/4/18,942,5992,38,745,2678,0,942,893,2683
2020/4/19,596,6588,26,771,2888,0,596,544,2893
2020/4/20,1426,8014,33,804,3782,0,1426,1371,5829
2020/4/21,1111,9125,39,843,4682,0,1111,1050,6881
2020/4/22,1016,10141,57,900,4999,1,1016,967,7651
2020/4/23,1037,11178,36,936,8874,0,1037,982,8880
2020/4/24,897,12075,38,974,9878,0,897,852,9878
2020/4/25,618,12693,46,1020,10465,0,618,597,10465
2020/4/26,931,13624,58,1078,11241,0,929,886,11241
2020/4/27,799,14423,35,1113,11863,2,799,764,11863
2020/4/28,528,14951,33,1146,12120,0,528,511,12120
2020/4/29,690,15641,62,1208,12725,0,690,660,12725
2020/4/30,528,16169,56,1264,13202,1,528,488,13202
2020/5/1,932,17101,24,1288,14053,1,932,905,14053
2020/5/2,447,17548,79,1367,14474,1,447,431,14474
2020/5/3,657,18205,61,1428,15149,1,657,626,15149
2020/5/4,573,18778,49,1477,15812,0,573,560,15812
2020/5/5,632,19410,62,1539,16289,0,632,605,16289
2020/5/6,788,20198,115,1654,17082,2,788,760,17082
2020/5/7,741,20939,78,1732,17831,0,741,725,17831
2020/5/8,768,21707,328,2060,18402,0,768,750,18402
2020/5/9,753,22460,256,2316,19020,0,753,739,19020
2020/5/10,876,23336,425,2741,19498,0,875,860,19498
2020/5/11,486,23787,504,3245,19448,1,486,481,19448
2020/5/12,884,24671,626,3871,19667,0,884,877,19667
2020/5/13,675,25346,958,4829,19479,0,675,671,19479
2020/5/14,752,26098,1164,5993,19032,0,752,750,19032
2020/5/15,793,26891,1275,7268,18498,0,793,791,18498
2020/5/16,465,27356,1094,8362,17881,1,465,457,17881
2020/5/17,682,28038,998,9360,17466,0,682,673,17466
2020/5/18,305,28343,495,9855,17450,0,305,303,17450
2020/5/19,451,28794,530,10385,17403,0,451,450,17403
2020/5/20,570,29364,842,11227,17181,0,570,562,17181
2020/5/21,448,29812,910,12137,16771,1,448,434,16771
2020/5/22,614,30426,838,12975,16650,0,614,610,16650
2020/5/23,642,31068,927,13902,16452,0,642,631,16452
2020/5/24,548,31616,994,14896,16027,0,548,544,16027
2020/5/25,344,31960,862,15758,15592,0,344,338,15592
2020/5/26,383,32343,706,16464,15291,0,383,381,15291
2020/5/27,533,32876,832,17296,15052,0,533,529,15052
2020/5/28,373,33249,1018,18314,14422,0,373,372,14422
2020/5/29,611,33860,1337,19651,13745,0,611,602,13745
2020/5/30,506,34366,1096,20747,13242,0,506,501,13242
2020/5/31,518,34884,972,21719,12841,0,518,516,12841
2020/6/1,408,35292,767,22486,12458,1,408,408,12458
2020/6/2,544,35836,709,23195,12306,0,544,540,12306
2020/6/3,569,36405,407,23602,12465,0,569,562,12465
2020/6/4,517,36922,322,23924,12691,0,517,502,12691
2020/6/5,261,37183,305,24229,12643,0,261,250,12643
2020/6/6,344,37527,350,24579,12635,1,344,337,12635
2020/6/7,383,37910,327,24906,12704,0,383,369,12704
2020/6/8,386,38296,482,25388,12634,0,386,384,12634
2020/6/9,218,38514,509,25897,12364,0,218,212,12364
2020/6/10,451,38965,655,26552,12185,0,451,444,12185
2020/6/11,422,39387,754,27306,11849,0,422,416,11849
2020/6/12,463,39850,754,28060,11546,0,463,445,11546
2020/6/13,347,40197,768,28828,11135,1,347,342,11135
2020/6/14,407,40604,781,29609,10751,0,406,397,10751
2020/6/15,214,40818,777,30386,10183,0,214,211,10183
2020/6/16,151,40969,797,31183,9511,0,151,149,9511
2020/6/17,247,41216,775,31958,8995,0,247,242,8995
2020/6/18,257,41473,774,32732,8510,0,257,253,8510
2020/6/19,142,41615,747,33479,7918,0,142,141,7918
2020/6/20,218,41833,765,34244,7398,0,218,216,7398
2020/6/21,262,42095,718,34962,6948,0,262,252,6948
2020/6/22,218,42313,648,35610,6497,0,218,217,6497
2020/6/23,119,42432,405,36015,6219,0,119,116,6219
2020/6/24,191,42623,304,36319,6109,0,191,184,6109
2020/6/25,113,42736,305,36624,5917,0,113,108,5917
2020/6/26,219,42955,221,36845,5921,0,219,213,5921
2020/6/27,291,43246,338,37183,5883,0,291,280,5883
2020/6/28,213,43459,345,37528,5741,0,213,202,5741
2020/6/29,202,43661,477,38005,5453,0,202,196,5453
2020/6/30,246,43907,515,38520,5166,0,245,240,5166
2020/7/1,215,44122,511,39031,4876,0,211,201,4876
2020/7/2,188,44310,418,39449,4654,0,187,177,4654
2020/7/3,169,44479,340,39789,4461,0,166,155,4461
2020/7/4,185,44664,348,40137,4317,0,184,175,4317
2020/7/5,136,44800,324,40461,4121,0,129,111,4121
